5 10 17 8 19 4 20 3 13 12 18 16 9 15 11 1 23 24 21 2 0 7 6 14 22 
10 15 14 8 13 20 18 22 19 11 1 3 9 24 12 16 2 0 17 7 5 21 6 4 23 
3 9 7 6 22 5 17 20 23 10 12 8 15 18 11 2 1 24 21 14 13 19 0 4 16 
22 10 17 8 19 4 20 3 13 12 18 16 9 15 11 1 23 24 21 2 0 7 6 14 5 
10 11 17 6 4 16 18 2 7 9 12 23 21 15 5 22 1 19 20 14 13 3 0 8 24 
5 12 7 10 21 11 18 24 17 16 3 1 22 4 2 19 8 15 20 14 13 23 0 6 9 
5 12 7 10 21 11 18 24 17 16 3 1 22 4 2 19 8 15 20 14 13 23 0 6 9 
22 12 17 14 5 3 7 23 6 10 21 4 24 15 2 20 8 13 16 18 0 11 9 1 19 
3 0 7 6 1 5 17 21 15 13 12 4 24 23 11 2 22 18 20 14 10 19 9 8 16 
10 11 22 1 4 20 18 2 14 9 12 23 19 15 5 17 6 21 16 7 0 3 13 8 24 
10 12 14 8 19 4 20 3 13 5 18 16 9 15 11 1 23 24 21 2 0 7 6 22 17 
24 12 7 2 6 14 19 18 17 8 4 3 9 15 5 22 23 11 21 13 10 1 20 16 0 
22 10 6 12 24 5 21 16 17 9 11 7 23 18 2 4 15 19 20 14 13 3 0 8 1 
9 0 7 6 1 5 17 21 18 10 12 4 24 19 11 2 22 15 20 14 13 16 8 3 23 
10 11 17 6 4 16 18 9 7 2 1 23 15 8 12 20 5 19 22 14 13 3 0 21 24 
5 10 17 8 22 1 20 3 13 12 18 16 9 19 11 4 23 15 21 14 7 2 0 6 24 
4 13 7 6 22 5 17 20 18 10 12 8 15 23 11 1 9 24 21 2 0 3 16 14 19 
17 20 4 14 11 12 18 22 19 0 1 3 21 15 5 23 6 24 16 2 10 8 7 13 9 
17 9 22 14 5 3 7 23 6 10 21 4 24 15 2 20 8 11 18 13 1 19 12 0 16 
11 1 20 18 22 3 14 19 10 8 12 23 24 15 5 17 6 21 16 7 0 9 13 2 4 
10 9 14 8 13 20 5 22 12 11 1 23 15 19 17 2 24 21 16 7 18 0 6 4 3 
10 15 14 8 13 20 18 22 19 11 1 3 9 24 12 16 2 0 17 7 5 21 6 4 23 
22 7 3 9 6 5 17 21 18 10 12 4 24 19 11 2 1 20 15 14 13 23 0 8 16 
5 12 8 13 21 22 4 24 17 16 3 7 23 18 11 2 1 15 20 14 10 19 9 6 0 
11 4 20 7 17 3 19 14 0 9 12 23 21 15 5 22 6 24 16 2 13 8 10 18 1 
3 9 7 6 22 5 17 20 18 10 12 8 15 23 11 2 1 24 21 14 13 19 0 4 16 
15 11 14 8 13 20 5 22 0 9 12 23 10 19 17 2 21 24 16 7 18 1 6 4 3 
21 12 14 15 5 3 7 23 6 16 11 1 22 4 2 24 8 18 20 13 10 19 9 17 0 
